libelle_drh;structure_iss;uid_dhis2;district;type;statut
HASIGUI;Hopital Amitie Sino-Guinéen;qoNflHBihaD;;HN;OK
HR Enta Nord;HR Conakry;nDFe8pEyacM;;HR;OK
CHU Donka;HN Donka;LSdejPq33sK;;HN;Ok
CHU Ignace Deen;HN Ignace Deen;ie3fGBEEPXs;;HN;OK
HRKkan;HR Kankan;Io2v0J90ZWH;;HR;OK
CMC FLAMBOYANTS;CMC le Flamboyants;YriWthO0uUk;;CMC;OK
CS Gbessia Port1;CSU Gbessia Port 1;R21rlk5ynyV;;CS;OK
CS Gbessia port1;CSU Gbessia Port 1;R21rlk5ynyV;;CS;OK
CS Gbessia Port2;CSU Gbessia Port 2;MBMvxGsMDtH;;CS;OK
CS Gbessia port2;CSU Gbessia Port 2;MBMvxGsMDtH;;CS;Ok
CMC Bernard Kouchener;CMC Bernard Kouchner;FqG9O7Rl41T;;CMC;OK
CENTRE DE SANTE URBAIN SIMBAYA GARE;CSU Simbaya Gare;oivOmoE4eBn;;CS;Ok
HPGAOUAL;HP Gaoual;E1ebCbKxJCc;;HP;OK
CSR BOKARIAH;CSR Bokaria;rUhLHdRSAR4;;CS;Ok
CMC KONDEYAH;CMC de Kondeya;Tr2cfRzLZuY;;CMC;OK
CDT DAMAKANIA;Centre LTO de Damakania;gX0lLKCR6pO;;PS;OK
CMC  KOULE;CSA de Koule;U16WKukcSVp;;CSA;OK
CS KOULE;CSR Koule;weVLd6pi54j;;CS;OK
CMC SINKO;CMC de Sinko;Hy63FAPBOU6;;CMC;OK
CS SINKO;CSR Sinko;rytGLgUQgek;;CS;OK
CS Tombolia;CSU Tombolia Cité soloprimo;iHISgFBrL4g;;CS;OK
CS Timbi Madina;CSR Timbi Madina;rUe1AI1Hl9s;;CS;OK
CSA Banankoro;CSA de Banankoro;ln5f6tcjVUl;;CSA;OK
Boffa Centre;;;;;NON RATTACHE
CC Kollet;CSR Kollet (Tougué);mfhDGvNP9rI;;CS;OK
CMC OUENDE KENEMA;CMC de Ouende Kenema;fERYCZlGFN6;;CMC;OK
CS OUENDE KENEMA;CSR Ouende Kenema;zos2iuEFR0V;;CS;OK
IGNACE DENN;HN Ignace Deen;ie3fGBEEPXs;;HN;OK
