# Référentiel de normes — EXEMPLE NON OFFICIEL
# Fichier de démonstration pour tester l'import ; les seuils sont des ordres de grandeur inspirés du paquet
# minimum d'activités de la pyramide sanitaire, PAS des normes du MSHP. À remplacer par le référentiel validé.
# Format : type_code;kind;target;label;min_value;level
#   type_code : PS, CS, CSA, CMC, HP, HR, HN, CABINET, CLINIQUE, AUTRE_PRIVE ou * (toutes)
#   kind      : service (target = code DE ISS_SVC_*), rh (racine de profil ISS_RH_* ; un suffixe _ = préfixe),
#               equipement (racine du couple total/fonctionnel), infra (code DE ISS_INFRA_*)
#   min_value : service → 1 (attendu) ; autres → effectif / nombre minimum (fonctionnel pour les équipements)
#   level     : essentiel (poids 2) ou recommande (poids 1)
type_code;kind;target;label;min_value;level
PS;service;ISS_SVC_CURATIF_DE;Consultations primaires curatives;1;essentiel
PS;service;ISS_SVC_CPN_DE;Consultations prénatales (CPN);1;essentiel
PS;service;ISS_SVC_PEV_DE;Vaccination (PEV);1;essentiel
PS;service;ISS_SVC_PANSEMENT_DE;Pansements;1;recommande
PS;service;ISS_SVC_ACCOUCHEMENT_DE;Accouchement;1;recommande
PS;rh;ISS_RH_ATS;ATS;1;essentiel
PS;rh;ISS_RH_AGENT_COMM;Agent de santé communautaire;1;recommande
PS;equipement;ISS_EQUI_TABLE_CON;Table de consultation fonctionnelle;1;essentiel
PS;equipement;ISS_NB_PESE_BEBE;Pèse-bébé;1;essentiel
PS;equipement;ISS_EQUI_PORTE_VACCIN;Porte-vaccins fonctionnel;1;essentiel
CS;service;ISS_SVC_CURATIF_DE;Consultations primaires curatives;1;essentiel
CSA;service;ISS_SVC_CURATIF_DE;Consultations primaires curatives;1;essentiel
CMC;service;ISS_SVC_CURATIF_DE;Consultations primaires curatives;1;essentiel
CS;service;ISS_SVC_CPN_DE;Consultations prénatales (CPN);1;essentiel
CSA;service;ISS_SVC_CPN_DE;Consultations prénatales (CPN);1;essentiel
CMC;service;ISS_SVC_CPN_DE;Consultations prénatales (CPN);1;essentiel
CS;service;ISS_SVC_PEV_DE;Vaccination (PEV);1;essentiel
CSA;service;ISS_SVC_PEV_DE;Vaccination (PEV);1;essentiel
CMC;service;ISS_SVC_PEV_DE;Vaccination (PEV);1;essentiel
CS;service;ISS_SVC_ACCOUCHEMENT_DE;Accouchement;1;essentiel
CSA;service;ISS_SVC_ACCOUCHEMENT_DE;Accouchement;1;essentiel
CMC;service;ISS_SVC_ACCOUCHEMENT_DE;Accouchement;1;essentiel
CS;service;ISS_SVC_CPO_DE;Consultations postnatales;1;essentiel
CSA;service;ISS_SVC_CPO_DE;Consultations postnatales;1;essentiel
CMC;service;ISS_SVC_CPO_DE;Consultations postnatales;1;essentiel
CS;service;ISS_SVC_PTME_DE;Consultation PTME;1;essentiel
CSA;service;ISS_SVC_PTME_DE;Consultation PTME;1;essentiel
CMC;service;ISS_SVC_PTME_DE;Consultation PTME;1;essentiel
CS;service;ISS_SVC_PHARMACIE_DE;Pharmacie / point de vente;1;essentiel
CSA;service;ISS_SVC_PHARMACIE_DE;Pharmacie / point de vente;1;essentiel
CMC;service;ISS_SVC_PHARMACIE_DE;Pharmacie / point de vente;1;essentiel
CS;service;ISS_SVC_LABO_DE;Service laboratoire;1;recommande
CSA;service;ISS_SVC_LABO_DE;Service laboratoire;1;recommande
CMC;service;ISS_SVC_LABO_DE;Service laboratoire;1;recommande
CS;service;ISS_SVC_PETITE_CHIR_DE;Petite chirurgie;1;recommande
CSA;service;ISS_SVC_PETITE_CHIR_DE;Petite chirurgie;1;recommande
CMC;service;ISS_SVC_PETITE_CHIR_DE;Petite chirurgie;1;recommande
CS;service;ISS_SVC_SURVEILLANCE_COMM_DE;Surveillance communautaire;1;recommande
CSA;service;ISS_SVC_SURVEILLANCE_COMM_DE;Surveillance communautaire;1;recommande
CMC;service;ISS_SVC_SURVEILLANCE_COMM_DE;Surveillance communautaire;1;recommande
CS;rh;ISS_RH_MED_;Médecin (tout profil);1;recommande
CSA;rh;ISS_RH_MED_;Médecin (tout profil);1;essentiel
CMC;rh;ISS_RH_MED_;Médecin (tout profil);1;essentiel
CS;rh;ISS_RH_SAGEF;Sage-femme;1;essentiel
CSA;rh;ISS_RH_SAGEF;Sage-femme;1;essentiel
CMC;rh;ISS_RH_SAGEF;Sage-femme;1;essentiel
CS;rh;ISS_RH_INF;Infirmier;2;essentiel
CSA;rh;ISS_RH_INF;Infirmier;2;essentiel
CMC;rh;ISS_RH_INF;Infirmier;2;essentiel
CS;rh;ISS_RH_ATS;ATS;1;essentiel
CSA;rh;ISS_RH_ATS;ATS;1;essentiel
CMC;rh;ISS_RH_ATS;ATS;1;essentiel
CS;rh;ISS_RH_TECH_LAB;Technicien de laboratoire;1;recommande
CSA;rh;ISS_RH_TECH_LAB;Technicien de laboratoire;1;recommande
CMC;rh;ISS_RH_TECH_LAB;Technicien de laboratoire;1;recommande
CS;equipement;ISS_EQUI_TABLE_ACC;Table d'accouchement fonctionnelle;1;essentiel
CSA;equipement;ISS_EQUI_TABLE_ACC;Table d'accouchement fonctionnelle;1;essentiel
CMC;equipement;ISS_EQUI_TABLE_ACC;Table d'accouchement fonctionnelle;1;essentiel
CS;equipement;ISS_EQUI_FRIGO;Réfrigérateur fonctionnel;1;essentiel
CSA;equipement;ISS_EQUI_FRIGO;Réfrigérateur fonctionnel;1;essentiel
CMC;equipement;ISS_EQUI_FRIGO;Réfrigérateur fonctionnel;1;essentiel
CS;equipement;ISS_EQUI_MICROSCOPE;Microscope fonctionnel;1;recommande
CSA;equipement;ISS_EQUI_MICROSCOPE;Microscope fonctionnel;1;recommande
CMC;equipement;ISS_EQUI_MICROSCOPE;Microscope fonctionnel;1;recommande
CS;equipement;ISS_EQUI_TABLE_CON;Table de consultation fonctionnelle;1;essentiel
CSA;equipement;ISS_EQUI_TABLE_CON;Table de consultation fonctionnelle;1;essentiel
CMC;equipement;ISS_EQUI_TABLE_CON;Table de consultation fonctionnelle;1;essentiel
CS;equipement;ISS_NB_PESE_BEBE;Pèse-bébé;1;essentiel
CSA;equipement;ISS_NB_PESE_BEBE;Pèse-bébé;1;essentiel
CMC;equipement;ISS_NB_PESE_BEBE;Pèse-bébé;1;essentiel
CS;equipement;ISS_EQUI_STERIL;Matériel de stérilisation fonctionnel;1;recommande
CSA;equipement;ISS_EQUI_STERIL;Matériel de stérilisation fonctionnel;1;recommande
CMC;equipement;ISS_EQUI_STERIL;Matériel de stérilisation fonctionnel;1;recommande
CS;infra;ISS_INFRA_SALLE_ACC_DE;Salle d'accouchement;1;essentiel
CSA;infra;ISS_INFRA_SALLE_ACC_DE;Salle d'accouchement;1;essentiel
CMC;infra;ISS_INFRA_SALLE_ACC_DE;Salle d'accouchement;1;essentiel
CS;infra;ISS_INFRA_SALLE_CPN_DE;Salle de CPN;1;essentiel
CSA;infra;ISS_INFRA_SALLE_CPN_DE;Salle de CPN;1;essentiel
CMC;infra;ISS_INFRA_SALLE_CPN_DE;Salle de CPN;1;essentiel
